ENTIDAD;DESCRIPCION_URL;ID;ID2;LINK;DESCRICION_1;DESCRIPCION_2
ENTEL;TIENDA;Starbucks;starbucks;https://www.entel.cl/beneficios/descuentos/tienda/starbucks/?oda=beneficios-tienda_cards;Disfruta tu Starbucks con descuento;disfruta tu starbucks con descuento
ENTEL;TIENDA;Piwen;piwen;https://www.entel.cl/beneficios/descuentos/tienda/piwen/?oda=beneficios-tienda_cards;30% de dcto en la web;30 porciento de descuento
ENTEL;TIENDA;Natura;natura;https://www.entel.cl/beneficios/descuentos/tienda/natura/?oda=beneficios-tienda_cards;Hasta 25% de dcto;hasta 25 porciento de dcto
ENTEL;TIENDA;Lysto;lysto;https://www.entel.cl/beneficios/descuentos/tienda/lysto/?oda=beneficios-tienda_cards;15% de dcto en el total de tu boleta;15 porciento de dcto en el total de tu boleta
ENTEL;TIENDA;Movieplay Funstore;movieplay;https://www.entel.cl/beneficios/descuentos/tienda/movieplay/?oda=beneficios-tienda_cards;15% dcto en cómics y  figuras. 10% en juegos  de mesa.;15 porciento dcto en comics figuras 1 porciento en juegos de mesa
ENTEL;TIENDA;Santillana;santillana;https://www.entel.cl/beneficios/descuentos/tienda/santillana/?oda=beneficios-tienda_cards;12% dcto en textosescolares y 15% dcto en libros de literatura;12 porciento dcto en textos escolares
ENTEL;TIENDA;Village;village;https://www.entel.cl/beneficios/descuentos/tienda/village/?oda=beneficios-tienda_cards;20% dcto comprando en www.village.cl;20 porciento dcto comprando en www village cl
ENTEL;TIENDA;Rhein;rhein;https://www.entel.cl/beneficios/descuentos/entretencion/rhein/?oda=beneficios-tienda_cards;20% dcto comprando en www.rhein.cl;20 porciento dcto comprando en www rhein cl
ENTEL;TIENDA;Faber Castell;faber castell;https://www.entel.cl/beneficios/descuentos/tienda/faber-castell/?oda=beneficios-tienda_cards;30% dcto en  productos;30 porciento dcto en productos
ENTEL;TIENDA;Woof;woof;https://www.entel.cl/beneficios/descuentos/tienda/woof/?oda=beneficios-tienda_cards;7% dcto en planes de  salud para mascotas;7 porciento dcto en planes de salud para mascotas
ENTEL;TIENDA;Corona;corona;https://www.entel.cl/beneficios/descuentos/tienda/corona/?oda=beneficios-tienda_cards;20% dcto en Vestuario  y Calzado en mujer, Hombre e Infantil.;20 porciento de dcto en vestuario  y calzado en mujer hombre e infantil.
ENTEL;ENTRETENCION;Cinemark;cinemark;https://www.entel.cl/beneficios/descuentos/entretencion/cinemark-presencial/?oda=beneficios-entretencion_cards;Entradas 2D a $2700 más Popcorn gratis;entradas 2d a 2600 pesos mas popcorn gratis
ENTEL;ENTRETENCION;Coney Jump;coney jump;https://www.entel.cl/beneficios/descuentos/entretencion/coney-jump/?oda=beneficios-entretencion_cards;25% de dcto. en los  parques Coney Jump a  nivel nacional;25 porciento de dcto en los parques coney jump a nivel nacional
ENTEL;ENTRETENCION;Yukids;yukids;https://www.entel.cl/beneficios/descuentos/entretencion/yukids/?oda=beneficios-entretencion_cards;25% de dcto. en los  parques Yukids a nivel nacional;25 porciento de dcto en los parques yukids a nivel nacional
ENTEL;ENTRETENCION;Coney Park;coney park;https://www.entel.cl/beneficios/descuentos/entretencion/coney-park/?oda=beneficios-entretencion_cards;Recarga especial. Carga  $12.000 y juega $24.000  en parques Coney Park a  nivel nacional;recarga especial carga 12000 pesos y juega 24000 pesos en parques coney park a nivel nacional
ENTEL;ENTRETENCION;Kidzania;kidzania;https://www.entel.cl/beneficios/descuentos/entretencion/kidzania/?oda=beneficios-entretencion_cards;15% dcto en entradas comprando a través de www.kidzania.cl;15 porciento dcto en entradas comprando a traves de www kidzania cl
ENTEL;SOSTENIBILIDAD;Elige Verde;eligeverde;https://www.entel.cl/beneficios/descuentos/sostenibilidad/eligeverde/?oda=beneficios-sostenibilidad_cards;30% de dcto. en  todos los planes,  los 3 primeros meses;30 porciento de dcto en todos los planes cocina y jardin
ENTEL;SOSTENIBILIDAD;FreeMet;freemet;https://www.entel.cl/beneficios/descuentos/sostenibilidad/free-met/?oda=beneficios-sostenibilidad_cards;15% de dcto. en  el total de la compra online en www.freemet.cl;15 porciento de descuento en el total de la compra online en www freemet cl
ENTEL;SOSTENIBILIDAD;Kruza;kruza;https://www.entel.cl/beneficios/descuentos/sostenibilidad/kruza/?oda=beneficios-sostenibilidad_cards;20% de descuento en compras online en kruza.eco;20 porciento de descuento en compras online en kruza eco
ENTEL;SOSTENIBILIDAD;Plug;plug;https://www.entel.cl/beneficios/descuentos/sostenibilidad/plug/?oda=beneficios-sostenibilidad_cards;20% de descuento En Mercado Sustentable de Plug;20 porciento de descuento en mercado sustentable de plug
ENTEL;SOSTENIBILIDAD;Lávame App;lavame app;https://www.entel.cl/beneficios/descuentos/sostenibilidad/lavame-app/?oda=beneficios-sostenibilidad_cards;Hasta 20% de dcto  en lavado de auto  ecológico;hasta 20 porciento de descuento en lavado de auto ecológico
ENTEL;TRANSPORTE;Awto;awto;https://www.entel.cl/beneficios/descuentos/transporte/awto/?oda=beneficios-transporte_cards;$10.000 + 20% de descuento para usuarios nuevos;10000 mas 20 porciento de descuento para usuarios nuevos
ENTEL;TRANSPORTE;Euro Rent a Car;euro;https://www.entel.cl/beneficios/descuentos/transporte/euro-rent/?oda=beneficios-transporte_cards;30% dcto en arriendo de cualquier vehículo;30 porciento dcto en arriendo de cualquier vehiculo
ENTEL;TRANSPORTE;Assist card;euro;https://www.entel.cl/beneficios/descuentos/transporte/assist-card/?oda=beneficios-transporte_cards;10% de descuento  adicional sobre la tarifa vigente  al contratar la Asistencia en Viajes de Assist Card con Entel;10 porciento dcto  adicional sobre la tarifa vigente al contratar la asistencia en viajes de assist card con entel
ENTEL;GAMING;Fantech;fantech;https://www.entel.cl/beneficios/descuentos/gaming/fantech/?oda=beneficios-gaming_cards;25% de dcto sobre el precio normal  en sillas, escritorios y  gabinetes;25 porciento de dcto sobre el precio normal
ENTEL;GAMING;Gunnar;gunnar;https://www.entel.cl/beneficios/descuentos/gaming/gunnar/?oda=beneficios-gaming_cards;Hasta 25% de dcto en toda su web;hasta 25 porciento de dcto en toda su web
